Station,Setup_date,Retrieval_date.Function.Date,Latitude,Longitude
Cell100Camera1,6/5/2016,9/25/2016,0,0
Cell100Camera2,6/5/2016,9/25/2016,0,0
Cell100Camera3,6/5/2016,9/25/2016,0,0
Cell101Camera1,7/12/2017,9/24/2017,0,0
Cell101Camera2,7/12/2017,9/24/2017,0,0
Cell101Camera3,7/12/2017,8/17/2017,0,0
Cell101Camera4,7/13/2017,9/24/2017,0,0
Cell104Camera1,7/10/2017,9/23/2017,0,0
Cell104Camera2,7/11/2017,9/23/2017,0,0
Cell104Camera3,7/11/2017,9/23/2017,0,0
Cell104Camera4,7/11/2017,9/23/2017,0,0
Cell106Camera3,7/10/2017,9/23/2017,0,0
Cell106Camera4,7/11/2017,9/23/2017,0,0
Cell10Camera1K,8/9/2017,10/21/2017,0,0
Cell10Camera2K,8/9/2017,10/21/2017,0,0
Cell10Camera3K,8/9/2017,10/21/2017,0,0
Cell10Camera4K,8/9/2017,10/21/2017,0,0
Cell113Camera1,7/11/2017,9/24/2017,0,0
Cell113Camera2,7/11/2017,9/24/2017,0,0
Cell113Camera3,7/11/2017,9/24/2017,0,0
Cell113Camera4,7/11/2017,9/24/2017,0,0
Cell114Camera1,7/12/2017,9/23/2017,0,0
Cell114Camera2,7/12/2017,9/23/2017,0,0
Cell114Camera3,7/12/2017,9/24/2017,0,0
Cell114Camera4,7/12/2017,9/24/2017,0,0
Cell116Camera1,7/12/2017,9/24/2017,0,0
Cell116Camera2,7/12/2017,9/24/2017,0,0
Cell116Camera3,7/12/2017,9/24/2017,0,0
Cell116Camera4,7/12/2017,9/24/2017,0,0
Cell119Camera2,7/13/2017,9/25/2017,0,0
Cell119Camera4,7/14/2017,9/25/2017,0,0
Cell11Camera1K,8/27/2016,10/9/2016,0,0
Cell11Camera2K,8/27/2016,10/9/2016,0,0
Cell11Camera3K,8/28/2016,10/9/2016,0,0
Cell11Camera4K,8/28/2016,10/9/2016,0,0
Cell120Camera2,7/13/2017,9/24/2017,0,0
Cell120Camera3,7/13/2017,9/25/2017,0,0
Cell120Camera4,7/13/2017,9/24/2017,0,0
Cell121Camera1,7/21/2016,9/25/2016,0,0
Cell121Camera2,7/21/2016,9/25/2016,0,0
Cell121Camera3,7/21/2016,9/25/2016,0,0
Cell123Camera1,7/16/2016,10/2/2016,0,0
Cell123Camera2,7/16/2016,10/2/2016,0,0
Cell123Camera3,7/16/2016,10/2/2016,0,0
Cell124Camera1,7/14/2016,9/30/2016,0,0
Cell124Camera2,7/15/2016,10/1/2016,0,0
Cell124Camera3,7/15/2016,10/1/2016,0,0
Cell124Camera4,7/15/2016,10/1/2016,0,0
Cell124Camera5,7/15/2016,9/30/2016,0,0
Cell125Camera1,7/14/2016,10/1/2016,0,0
Cell125Camera2,7/15/2016,8/23/2016,0,0
Cell125Camera3,7/16/2016,9/30/2016,0,0
Cell125Camera4,7/16/2016,10/2/2016,0,0
Cell125Camera5,7/16/2016,10/2/2016,0,0
Cell126Camera1,7/14/2016,9/30/2016,0,0
Cell126Camera2,7/14/2016,10/1/2016,0,0
Cell126Camera3,7/14/2016,9/30/2016,0,0
Cell127Camera1,7/14/2016,9/30/2016,0,0
Cell127Camera2,7/14/2016,9/30/2016,0,0
Cell127Camera3,7/14/2016,10/1/2016,0,0
Cell129Camera1,6/5/2016,9/9/2016,0,0
Cell129Camera2,6/5/2016,9/9/2016,0,0
Cell129Camera3,6/7/2016,9/10/2016,0,0
Cell12Camera1K,7/28/2016,10/7/2016,0,0
Cell12Camera2K,7/28/2016,10/7/2016,0,0
Cell12Camera3K,7/28/2016,10/7/2016,0,0
Cell12Camera4K,7/28/2016,10/7/2016,0,0
Cell130Camera1,6/20/2017,10/12/2017,0,0
Cell130Camera2,6/20/2017,8/6/2017,0,0
Cell130Camera3,6/20/2017,10/12/2017,0,0
Cell130Camera4,6/20/2017,8/20/2017,0,0
Cell131Camera1,6/21/2017,10/13/2017,0,0
Cell131Camera2,6/21/2017,10/12/2017,0,0
Cell131Camera3,6/21/2017,7/19/2017,0,0
Cell131Camera4,6/21/2017,10/13/2017,0,0
Cell133Camera1,6/6/2016,9/9/2016,0,0
Cell133Camera2,6/6/2016,9/9/2016,0,0
Cell133Camera3,6/6/2016,9/9/2016,0,0
Cell134Camera1,7/26/2017,10/13/2017,0,0
Cell134Camera2,7/26/2017,8/16/2017,0,0
Cell134Camera3,7/26/2017,10/13/2017,0,0
Cell134Camera4,7/26/2017,10/13/2017,0,0
Cell136Camera1,7/3/2017,9/3/2017,0,0
Cell136Camera2,7/3/2017,9/3/2017,0,0
Cell136Camera3,7/3/2017,9/3/2017,0,0
Cell136Camera4,7/3/2017,9/3/2017,0,0
Cell137Camera1,6/7/2016,9/10/2016,0,0
Cell137Camera2,6/7/2016,9/10/2016,0,0
Cell137Camera3,6/8/2016,9/10/2016,0,0
Cell138Camera1,6/6/2016,9/9/2016,0,0
Cell138Camera2,6/6/2016,9/9/2016,0,0
Cell138Camera3,7/10/2016,9/9/2016,0,0
Cell138Camera4,7/10/2016,9/9/2016,0,0
Cell138Camera5,7/10/2016,9/9/2016,0,0
Cell139Camera1,6/10/2016,9/2/2016,0,0
Cell139Camera2,6/10/2016,9/10/2016,0,0
Cell139Camera3,6/10/2016,9/10/2016,0,0
Cell139Camera4,6/10/2016,9/10/2016,0,0
Cell139Camera5,6/10/2016,9/10/2016,0,0
Cell13Camera1K,5/27/2016,7/26/2016,0,0
Cell13Camera2K,5/28/2016,7/27/2016,0,0
Cell13Camera3K,5/28/2016,7/27/2016,0,0
Cell13Camera4K,5/28/2016,7/27/2016,0,0
Cell143Camera1,7/14/2017,9/25/2017,0,0
Cell143Camera2,7/14/2017,9/25/2017,0,0
Cell143Camera3,7/15/2017,9/26/2017,0,0
Cell143Camera4,7/15/2017,9/26/2017,0,0
Cell145Camera1,7/15/2016,8/13/2016,0,0
Cell145Camera2,7/15/2016,10/1/2016,0,0
Cell145Camera3,7/15/2016,10/1/2016,0,0
Cell148Camera1,6/3/2016,8/20/2016,0,0
Cell148Camera2,6/3/2016,8/20/2016,0,0
Cell148Camera3,6/3/2016,8/20/2016,0,0
Cell14Camera1K,8/7/2017,10/6/2017,0,0
Cell14Camera2K,8/7/2017,10/6/2017,0,0
Cell14Camera3K,8/7/2017,10/6/2017,0,0
Cell14Camera4K,8/7/2017,10/7/2017,0,0
Cell150Camera1,7/13/2017,9/24/2017,0,0
Cell150Camera4,7/13/2017,9/12/2017,0,0
Cell15Camera2K,6/11/2017,7/13/2017,0,0
Cell15Camera3K,6/11/2017,8/10/2017,0,0
Cell15Camera4K,6/12/2017,8/10/2017,0,0
Cell167Camera1,7/8/2016,9/24/2016,0,0
Cell167Camera2,7/8/2016,9/24/2016,0,0
Cell167Camera3,7/8/2016,9/24/2016,0,0
Cell167Camera4,7/8/2016,9/24/2016,0,0
Cell16Camera2K,6/12/2017,8/10/2017,0,0
Cell16Camera3K,6/12/2017,8/10/2017,0,0
Cell16Camera4K,6/12/2017,8/10/2017,0,0
Cell170Camera1,6/10/2016,9/11/2016,0,0
Cell170Camera2,6/10/2016,9/11/2016,0,0
Cell170Camera3,6/10/2016,9/11/2016,0,0
Cell170Camera4,6/10/2016,9/11/2016,0,0
Cell170Camera5,6/10/2016,9/10/2016,0,0
Cell171Camera1,7/6/2016,9/25/2016,0,0
Cell171Camera2,7/7/2016,9/25/2016,0,0
Cell171Camera3,7/7/2016,9/25/2016,0,0
Cell173Camera1,7/13/2017,9/20/2017,0,0
Cell173Camera2,7/13/2017,9/20/2017,0,0
Cell173Camera3,7/13/2017,9/20/2017,0,0
Cell174Camera1,6/20/2017,8/19/2017,0,0
Cell174Camera2,6/20/2017,8/19/2017,0,0
Cell174Camera4,6/20/2017,8/19/2017,0,0
Cell17Camera1,7/21/2016,9/25/2016,0,0
Cell17Camera1K,6/11/2017,8/11/2017,0,0
Cell17Camera2,7/21/2016,9/25/2016,0,0
Cell17Camera4K,6/11/2017,7/5/2017,0,0
Cell180Camera1,6/9/2016,9/11/2016,0,0
Cell180Camera2,6/9/2016,9/11/2016,0,0
Cell180Camera3,6/9/2016,9/11/2016,0,0
Cell181Camera1,6/8/2016,9/11/2016,0,0
Cell181Camera2,6/8/2016,9/11/2016,0,0
Cell181Camera3,6/8/2016,9/11/2016,0,0
Cell182Camera1,6/8/2016,9/11/2016,0,0
Cell182Camera3,6/8/2016,9/11/2016,0,0
Cell183Camera1,6/26/2017,9/2/2017,0,0
Cell183Camera2,6/26/2017,9/2/2017,0,0
Cell183Camera3,6/26/2017,9/2/2017,0,0
Cell183Camera4,6/26/2017,9/2/2017,0,0
Cell185Camera1,7/26/2017,10/16/2017,0,0
Cell185Camera2,7/26/2017,10/16/2017,0,0
Cell185Camera3,7/26/2017,10/16/2017,0,0
Cell185Camera4,7/26/2017,10/16/2017,0,0
Cell186Camera1,7/5/2017,9/14/2017,0,0
Cell186Camera2,7/5/2017,9/14/2017,0,0
Cell186Camera3,7/5/2017,9/14/2017,0,0
Cell187Camera1,6/29/2017,10/10/2017,0,0
Cell187Camera2,6/29/2017,10/10/2017,0,0
Cell187Camera3,6/29/2017,10/9/2017,0,0
Cell18Camera1K,5/23/2016,7/2/2016,0,0
Cell18Camera2K,5/23/2016,8/10/2016,0,0
Cell18Camera3K,5/23/2016,8/10/2016,0,0
Cell18Camera4K,5/23/2016,8/10/2016,0,0
Cell190Camera1,6/7/2016,9/6/2016,0,0
Cell190Camera3,6/8/2016,9/6/2016,0,0
Cell1Camera1K,6/9/2017,8/6/2017,0,0
Cell1Camera2K,6/9/2017,8/6/2017,0,0
Cell1Camera3K,6/9/2017,8/6/2017,0,0
Cell1Camera4K,6/9/2017,8/6/2017,0,0
Cell1Camera5K,8/6/2017,10/6/2017,0,0
Cell203Camera1,6/28/2016,9/27/2016,0,0
Cell203Camera2,6/28/2016,9/27/2016,0,0
Cell203Camera3,6/28/2016,9/27/2016,0,0
Cell204Camera1,7/28/2017,10/3/2017,0,0
Cell204Camera2,8/1/2017,10/4/2017,0,0
Cell204Camera3,8/1/2017,10/4/2017,0,0
Cell204Camera4,8/2/2017,10/3/2017,0,0
Cell207Camera1,7/22/2017,9/22/2017,0,0
Cell207Camera2,7/22/2017,9/22/2017,0,0
Cell207Camera3,7/22/2017,9/22/2017,0,0
Cell207Camera4,7/22/2017,9/22/2017,0,0
Cell213Camera1,7/11/2017,9/2/2017,0,0
Cell213Camera2,7/11/2017,9/13/2017,0,0
Cell213Camera3,7/11/2017,9/13/2017,0,0
Cell213Camera4,7/11/2017,9/13/2017,0,0
Cell214Camera1,6/23/2017,8/25/2017,0,0
Cell214Camera2,6/23/2017,8/25/2017,0,0
Cell214Camera3,6/24/2017,8/25/2017,0,0
Cell214Camera4,6/24/2017,8/25/2017,0,0
Cell215Camera1,6/8/2016,9/5/2016,0,0
Cell215Camera2,6/8/2016,9/7/2016,0,0
Cell215Camera3,6/8/2016,9/7/2016,0,0
Cell217Camera1,6/22/2017,10/2/2017,0,0
Cell217Camera2,6/22/2017,10/2/2017,0,0
Cell217Camera3,6/22/2017,9/7/2017,0,0
Cell218Camera1,6/21/2016,9/19/2016,0,0
Cell218Camera2,6/21/2016,9/19/2016,0,0
Cell218Camera3,6/21/2016,9/19/2016,0,0
Cell220Camera1,8/1/2017,10/9/2017,0,0
Cell220Camera2,8/1/2017,10/9/2017,0,0
Cell220Camera3,8/1/2017,10/9/2017,0,0
Cell220Camera4,8/1/2017,10/9/2017,0,0
Cell221Camera1,6/22/2017,10/3/2017,0,0
Cell221Camera2,6/22/2017,10/3/2017,0,0
Cell221Camera3,6/22/2017,10/3/2017,0,0
Cell221Camera4,6/22/2017,10/3/2017,0,0
Cell224Camera1,6/13/2016,9/15/2016,0,0
Cell224Camera2,6/20/2016,8/23/2016,0,0
Cell224Camera3,6/20/2016,8/23/2016,0,0
Cell224Camera4,6/24/2016,9/22/2016,0,0
Cell224Camera5,6/24/2016,8/23/2016,0,0
Cell225Camera1,6/3/2016,8/14/2016,0,0
Cell225Camera2,6/3/2016,8/15/2016,0,0
Cell225Camera3,6/3/2016,8/14/2016,0,0
Cell225Camera4,6/2/2016,8/13/2016,0,0
Cell225Camera5,6/3/2016,8/14/2016,0,0
Cell226Camera1,6/26/2016,9/29/2016,0,0
Cell226Camera2,6/26/2016,9/29/2016,0,0
Cell226Camera3,6/26/2016,9/29/2016,0,0
Cell227Camera1,6/13/2017,10/2/2017,0,0
Cell227Camera2,6/13/2017,10/3/2017,0,0
Cell227Camera3,6/13/2017,10/2/2017,0,0
Cell227Camera4,6/13/2017,10/3/2017,0,0
Cell228Camera1,7/12/2017,9/16/2017,0,0
Cell228Camera2,7/12/2017,9/16/2017,0,0
Cell228Camera4,7/12/2017,9/16/2017,0,0
Cell22Camera1,7/11/2017,9/24/2017,0,0
Cell22Camera2,7/11/2017,9/24/2017,0,0
Cell22Camera4,7/11/2017,9/24/2017,0,0
Cell231Camera1,6/9/2016,9/10/2016,0,0
Cell231Camera2,6/9/2016,9/10/2016,0,0
Cell231Camera3,6/23/2016,10/3/2016,0,0
Cell232Camera1,6/8/2016,9/9/2016,0,0
Cell232Camera2,6/9/2016,9/9/2016,0,0
Cell232Camera3,6/9/2016,9/9/2016,0,0
Cell234Camera1,6/14/2016,8/5/2016,0,0
Cell234Camera2,5/16/2016,8/5/2016,0,0
Cell234Camera3,6/7/2016,9/5/2016,0,0
Cell235Camera1,5/15/2016,8/4/2016,0,0
Cell235Camera2,6/14/2016,8/4/2016,0,0
Cell235Camera3,5/15/2016,8/5/2016,0,0
Cell235Camera4,5/15/2016,8/4/2016,0,0
Cell235Camera5,5/15/2016,8/4/2016,0,0
Cell236Camera1,7/6/2017,9/12/2017,0,0
Cell236Camera2,7/6/2017,8/11/2017,0,0
Cell236Camera3,7/6/2017,9/12/2017,0,0
Cell236Camera4,7/6/2017,9/12/2017,0,0
Cell237Camera1,6/14/2016,9/14/2016,0,0
Cell237Camera2,6/14/2016,9/14/2016,0,0
Cell237Camera3,6/14/2016,9/14/2016,0,0
Cell238Camera1,6/16/2016,9/18/2016,0,0
Cell238Camera2,6/19/2016,9/20/2016,0,0
Cell238Camera3,6/19/2016,9/18/2016,0,0
Cell239Camera1,6/15/2016,8/4/2016,0,0
Cell239Camera2,6/15/2016,8/4/2016,0,0
Cell239Camera3,6/15/2016,8/4/2016,0,0
Cell239Camera4,6/14/2016,8/4/2016,0,0
Cell239Camera5,6/15/2016,8/4/2016,0,0
Cell23Camera1,7/12/2017,9/24/2017,0,0
Cell23Camera2,7/12/2017,9/24/2017,0,0
Cell23Camera3,7/12/2017,9/24/2017,0,0
Cell23Camera4,7/12/2017,9/24/2017,0,0
Cell241Camera1,6/13/2016,9/12/2016,0,0
Cell241Camera2,6/13/2016,9/12/2016,0,0
Cell241Camera3,6/13/2016,9/12/2016,0,0
Cell242Camera1,7/27/2017,10/15/2017,0,0
Cell242Camera2,7/27/2017,10/15/2017,0,0
Cell242Camera3,7/27/2017,10/15/2017,0,0
Cell242Camera4,7/28/2017,10/15/2017,0,0
Cell244Camera1,7/27/2017,10/14/2017,0,0
Cell244Camera2,7/27/2017,10/14/2017,0,0
Cell244Camera3,7/27/2017,10/14/2017,0,0
Cell244Camera4,7/27/2017,9/28/2017,0,0
Cell245Camera1,6/30/2016,9/28/2016,0,0
Cell245Camera2,6/30/2016,9/28/2016,0,0
Cell245Camera3,6/30/2016,9/28/2016,0,0
Cell24Camera1,7/16/2016,10/2/2016,0,0
Cell24Camera2,7/16/2016,10/2/2016,0,0
Cell24Camera3,7/16/2016,10/2/2016,0,0
Cell251Camera1,7/4/2016,10/5/2016,0,0
Cell251Camera2,7/4/2016,10/2/2016,0,0
Cell251Camera3,7/4/2016,10/2/2016,0,0
Cell253Camera1,7/3/2016,10/2/2016,0,0
Cell253Camera2,7/4/2016,10/2/2016,0,0
Cell253Camera3,7/4/2016,10/5/2016,0,0
Cell253Camera4,7/4/2016,10/5/2016,0,0
Cell253Camera5,7/4/2016,10/5/2016,0,0
Cell254Camera1,7/6/2016,10/5/2016,0,0
Cell254Camera2,7/6/2016,10/5/2016,0,0
Cell254Camera3,7/6/2016,10/5/2016,0,0
Cell258Camera2,6/19/2016,9/21/2016,0,0
Cell258Camera3,6/19/2016,9/21/2016,0,0
Cell262Camera1,6/15/2016,9/17/2016,0,0
Cell262Camera2,6/16/2016,9/17/2016,0,0
Cell262Camera3,6/23/2016,9/30/2016,0,0
Cell267Camera1,6/3/2016,8/14/2016,0,0
Cell267Camera2,6/3/2016,8/14/2016,0,0
Cell268Camera1,6/3/2016,8/15/2016,0,0
Cell268Camera6,8/3/2017,10/10/2017,0,0
Cell268Camera2,6/2/2016,8/15/2016,0,0
Cell268Camera7,8/3/2017,10/10/2017,0,0
Cell268Camera3,6/2/2016,8/15/2016,0,0
